,NTACode,Population
0,BK88,106357
1,QN52,26982
2,QN48,19996
3,QN51,51739
4,QN27,23150
5,BX35,37865
6,QN07,20269
7,MN06,22950
8,QN02,25409
9,QN46,43808
10,BK25,44316
11,BX59,27248
12,QN41,17812
13,MN19,51231
14,QN08,48593
15,QN25,57658
16,QN06,25480
17,BK44,38917
18,BK41,36891
19,BK95,29938
20,BX33,26196
21,BK69,34791
22,BK17,64518
23,QN61,53751
24,QN01,38894
25,BX10,26583
26,QN33,18677
27,QN70,78793
28,BK43,52835
29,BK26,29436
30,BK29,62978
31,BK72,32926
32,BK75,70713
33,BK35,63504
34,BK79,31935
35,BK61,103169
36,BK63,39670
37,BK96,55326
38,BX31,28903
39,BK93,13354
40,BK91,50355
41,BK78,72101
42,BK77,57138
43,QN20,69317
44,BX41,51807
45,BK46,20299
46,BX37,29250
47,BK68,26079
48,BX40,28262
49,MN31,80771
50,QN68,20030
51,QN42,28237
52,BX49,30073
53,BX08,35011
54,BX46,29821
55,BX55,35634
56,BX05,54415
57,BX43,40494
58,SI08,22460
59,BK30,42419
60,MN04,48520
61,BK23,17750
62,QN19,32496
63,BX06,27378
64,BX28,50100
65,BX63,39282
66,QN71,27814
67,QN38,34034
68,BK09,22887
69,SI99,0
70,MN15,45884
71,QN18,28260
72,QN26,52037
73,QN34,52504
74,QN43,25287
75,QN21,37929
76,QN29,88427
77,QN66,24453
78,BX62,42483
79,QN10,28018
80,QN47,21751
81,QN49,30773
82,QN12,36885
83,QN15,50058
84,BX07,35538
85,BK85,29343
86,QN55,75878
87,BK27,29931
88,BK28,88727
89,QN76,34603
90,QN30,30516
91,QN50,25521
92,QN23,24275
93,QN37,37479
94,BK76,34719
95,QN63,45099
96,BX30,32496
97,BX36,54188
98,BX98,11091
99,BK83,49223
100,SI12,31474
101,MN24,42742
102,SI48,25238
103,MN34,58019
104,SI36,24835
105,BX44,61321
106,SI28,20191
107,BK73,45774
108,BK81,58300
109,SI07,24102
110,BX52,44167
111,QN54,62982
112,QN22,72008
113,QN62,20800
114,MN27,47844
115,MN35,67136
116,QN72,47534
117,SI01,27770
118,MN25,39699
119,QN17,83728
120,QN99,436
121,MN14,61489
122,MN17,28630
123,MN13,70150
124,MN32,77942
125,MN40,61207
126,BK34,72340
127,QN53,56674
128,QN56,21376
129,SI25,22049
130,SI54,40720
131,BK60,67459
132,BX26,37727
133,MN11,43383
134,BK19,35547
135,BK21,31965
136,SI45,21896
137,MN50,21049
138,SI05,39597
139,SI24,30714
140,BK38,34495
141,SI22,33551
142,SI35,17525
143,BK82,91958
144,QN57,26148
145,BX01,31078
146,BX22,27860
147,BX29,30161
148,BX34,39214
149,BX39,52413
150,BX03,34517
151,BX13,43752
152,BK40,20988
153,BK99,418
154,BK64,19849
155,MN01,46746
156,BX27,27204
157,BX14,62284
158,BK45,45231
159,BK50,83693
160,BK42,105804
161,BK58,64762
162,BK31,79371
163,BK32,54041
164,QN44,22571
165,QN45,24739
166,QN35,39138
167,QN60,23278
168,BX17,43423
169,BX75,20277
170,MN23,66880
171,BX09,53686
172,BX99,1906
173,QN28,108152
174,QN98,0
175,SI14,16079
176,SI37,26453
177,BK33,38353
178,BK37,67649
179,QN03,20132
180,QN05,25063
181,BK90,34158
182,QN31,63271
183,MN20,50742
184,MN21,27988
185,MN33,57902
186,MN22,44136
187,MN28,72957
188,MN09,55929
189,MN12,132378
190,SI11,23313
191,SI32,20763
192,MN03,75282
193,MN36,84438
194,MN99,1849
